,Error,max_depth,n_estimators,criterion,max_features,log_y,normv
0,0.0935226995124,15.0,50.0,0.0,3.0,1.0,1.0
1,0.177159745016,27.5500798913,175.949531555,0.393788091881,14.0422427253,1.0,1.0
2,0.129125010351,6.51635428166,228.306111057,0.343932489014,2.13336200692,1.0,1.0
3,0.349831758781,18.6105197817,269.75992643,0.183035986711,16.1142763363,1.0,1.0
4,0.101353688973,13.2425088888,208.697413345,0.462116886666,3.49331920567,1.0,1.0
5,0.313080448735,14.4972779847,106.293859245,0.902956243727,12.1385365602,1.0,1.0
6,0.11340496425,18.8748911243,107.058271403,0.916232009987,6.46065642124,1.0,1.0
7,0.137962711093,26.3927945316,140.062463301,0.327374305985,11.134643987,1.0,1.0
8,1.26191657017,6.07404456783,269.578170306,0.650322013312,15.9193336364,1.0,1.0
9,1.01972719407,5.05650986137,184.27051539,0.931609365886,13.6151322768,1.0,1.0
10,0.168915068447,32.1884375559,212.209860586,0.38003656881,19.5050492131,1.0,1.0
11,1.07275621432,8.19326274346,238.117986538,0.0933475350249,15.602962174,1.0,1.0
12,0.239695951964,13.0131645018,124.694573459,0.242354699679,9.59449253294,1.0,1.0
13,0.0900796255154,35.0561254566,151.310797143,0.354910466866,5.47195166765,1.0,1.0
14,0.115090377206,33.8484417389,241.153364986,0.671156190475,10.0835276284,1.0,1.0
15,0.216877263253,23.9025088189,118.054718271,0.383022931738,19.8426523751,1.0,1.0
16,0.138966668549,16.1447566996,236.83357289,0.938675419064,6.90611043734,1.0,1.0
17,0.485837639051,8.37392742371,258.28055942,0.884394983468,9.74352751815,1.0,1.0
18,0.0863553327625,25.3905845456,234.973371487,0.326922734975,4.2671132954,1.0,1.0
19,0.197193507344,24.0556377356,189.969841096,0.704351884805,17.8267073148,1.0,1.0
20,0.395491002007,17.8494913004,251.082712862,0.886625691124,19.1502515395,1.0,1.0
21,0.0799859491729,26.4003052882,210.890696833,0.225470114345,2.9706741527,1.0,1.0
22,0.388327985629,12.3241522675,177.069095274,0.344925443435,12.0819836277,1.0,1.0
23,0.134597731505,11.3162142651,173.488824113,0.898593761706,4.89233788405,1.0,1.0
24,1.43666226925,2.31496804048,205.780002521,0.849169411073,8.4251372002,1.0,1.0
25,0.159321956184,9.61232855707,120.893072308,0.399279111116,4.66592458739,1.0,1.0
26,0.169872051337,29.0058523369,240.084667263,0.0743526687434,17.0592639719,1.0,1.0
27,0.169229712815,31.3299426879,120.73789569,0.327151927851,17.214226931,1.0,1.0
28,0.761838451241,5.43255145625,207.7441149,0.123584238101,9.14020030933,1.0,1.0
29,1.68081689001,1.42513837497,152.701034815,0.701035881068,7.43498127458,1.0,1.0
30,1.67201357053,1.15596598799,156.845042318,0.0357747174809,7.8444472257,1.0,1.0
31,0.170368962021,32.0362051697,129.002914815,0.72934298918,14.4728422315,1.0,1.0
32,0.102783211041,16.5533083349,224.331125035,0.033941503086,4.92268795934,1.0,1.0
33,1.63919068057,2.22605466846,132.061937498,0.110213378243,10.2836605449,1.0,1.0
34,1.96027768358,2.3336351215,294.942199449,0.46906712092,19.5016485207,1.0,1.0
35,0.511674621872,15.6626146385,235.690446789,0.93908171904,16.5727753815,1.0,1.0
36,0.0953497667314,37.792391605,229.885036966,0.633546548109,6.7847050133,1.0,1.0
37,0.0812255018662,20.8751328887,236.860831571,0.116329511211,2.03418018088,1.0,1.0
38,0.249667467058,21.1983127869,244.68568826,0.612045231313,14.0635828918,1.0,1.0
39,0.083282624327,20.6782942311,106.849061529,0.951314173818,2.56671639433,1.0,1.0
40,0.440043507103,6.43430775049,247.088751685,0.45231056278,6.2639174415,1.0,1.0
41,1.06519033125,8.48958843214,287.21563049,0.854744182041,16.4002715542,1.0,1.0
42,0.0819860651815,25.4382657855,281.926129935,0.607137523993,3.68722283112,1.0,1.0
43,0.0831684040807,32.3279361306,235.446429461,0.52974804452,3.72907265106,1.0,1.0
44,0.130196076147,17.8719085288,261.175966058,0.819120635194,7.87965061446,1.0,1.0
45,0.101160975132,12.5269381327,247.380203747,0.956989588535,3.04460841001,1.0,1.0
46,0.274758648683,20.5293154635,238.412795738,0.0366044997178,17.4881802685,1.0,1.0
47,1.64321614888,2.82504045646,162.764508923,0.431733665758,12.7060526999,1.0,1.0
48,0.130685618472,5.4580726569,173.832117756,0.958081821909,1.67368802924,1.0,1.0
49,0.1740436606,13.9573071098,107.599332211,0.935794994291,7.98737080937,1.0,1.0
